"Location","String Value","String Representation","Data Type"
"102c96b04","CONTINUE","\"CONTINUE\"","ds"
"102c96b0d","OPTIONS","\"OPTIONS\"","ds"
"102c96b15","QUIT","\"QUIT\"","ds"
"102c96b1a","Hotline Miami 3","\"Hotline Miami 3\"","ds"
"102c96b2a","AMBUSH","\"AMBUSH\"","ds"
"102c96b31","9TH SCENE","\"9TH SCENE\"","ds"
"102c96b3b","'","\"'\"","ds"
"102c96b3d","' WILL BE PUBLISHED#ON STEAM WORKSHOP","\"' WILL BE PUBLISHED#ON STEAM WORKSHOP\"","ds"
"102c96b63","UPDATE","\"UPDATE\"","ds"
"102c96b6a","PUBLISH","\"PUBLISH\"","ds"
"102c96b72","YOU MUST FIRST BEAT THIS LEVEL#IN ORDER TO PUBLISH IT!#DO YOU WANT TO TRY IT NOW?","\"YOU MUST FIRST BEAT THIS LEVEL#IN ORDER TO PUBLISH IT!#DO YOU WANT TO TRY IT NOW?\"","ds"
"102c96bc4","YES","\"YES\"","ds"
"102c96bc8","NO","\"NO\"","ds"
"102c96bcb","UNSAVED CHANGES WILL BE LOST!#ARE YOU SURE YOU WANT TO QUIT?","\"UNSAVED CHANGES WILL BE LOST!#ARE YOU SURE YOU WANT TO QUIT?\"","ds"
"102c96c08","UNSAVED CHANGES WILL BE LOST!#DO YOU WANT TO SAVE NOW?","\"UNSAVED CHANGES WILL BE LOST!#DO YOU WANT TO SAVE NOW?\"","ds"
"102c96c3f","/Levels/single/","\"/Levels/single/\"","ds"
"102c96c4f","##LEVEL ALREADY EXISTS#DO YOU WANT TO OVERWRITE?","\"##LEVEL ALREADY EXISTS#DO YOU WANT TO OVERWRITE?\"","ds"
"102c96c80","LEVEL CANNOT YET BE SAVED!","\"LEVEL CANNOT YET BE SAVED!\"","ds"
"102c96c9b","#-No player object detected!","\"#-No player object detected!\"","ds"
"102c96cb8","#-No player vehicle detected!","\"#-No player vehicle detected!\"","ds"
"102c96cd6","OPEN_LEVEL","\"OPEN_LEVEL\"","ds"
"102c96ce1","CAN'T RUN LEVEL!","\"CAN'T RUN LEVEL!\"","ds"
"102c96cf2","MUST RUN LEVEL FROM FIRST FLOOR!","\"MUST RUN LEVEL FROM FIRST FLOOR!\"","ds"
"102c96d13","ARE YOU SURE YOU WANT TO#CLEAR ALL TILES?","\"ARE YOU SURE YOU WANT TO#CLEAR ALL TILES?\"","ds"
"102c96d3d","ARE YOU SURE YOU WANT TO#CLEAR ALL WALLS?","\"ARE YOU SURE YOU WANT TO#CLEAR ALL WALLS?\"","ds"
"102c96d67","ARE YOU SURE YOU WANT TO#CLEAR ALL OBJECTS?","\"ARE YOU SURE YOU WANT TO#CLEAR ALL OBJECTS?\"","ds"
"102c96d93","ARE YOU SURE YOU WANT TO#CLEAR ALL ENEMIES?","\"ARE YOU SURE YOU WANT TO#CLEAR ALL ENEMIES?\"","ds"
"102c96dbf","ARE YOU SURE YOU WANT TO#DELETE CURRENT FLOOR?","\"ARE YOU SURE YOU WANT TO#DELETE CURRENT FLOOR?\"","ds"
"102c96dee","CREATE CUTSCENE (ctrl+alt+c)","\"CREATE CUTSCENE (ctrl+alt+c)\"","ds"
"102c96e0b","EDIT LEVEL (ctrl+alt+c)","\"EDIT LEVEL (ctrl+alt+c)\"","ds"
"102c96e23","ADD RAIN (ctrl+alt+r)","\"ADD RAIN (ctrl+alt+r)\"","ds"
"102c96e39","REMOVE RAIN (ctrl+alt+r)","\"REMOVE RAIN (ctrl+alt+r)\"","ds"
"102c96e52","ADD DARKNESS (ctrl+alt+r)","\"ADD DARKNESS (ctrl+alt+r)\"","ds"
"102c96e6c","REMOVE DARKNESS (ctrl+alt+r)","\"REMOVE DARKNESS (ctrl+alt+r)\"","ds"
"102c96e89","ADD DAYLIGHT (ctrl+alt+d)","\"ADD DAYLIGHT (ctrl+alt+d)\"","ds"
"102c96ea3","REMOVE DAYLIGHT (ctrl+alt+d)","\"REMOVE DAYLIGHT (ctrl+alt+d)\"","ds"
"102c96ec0","ADD SUNSET (ctrl+alt+s)","\"ADD SUNSET (ctrl+alt+s)\"","ds"
"102c96ed8","REMOVE SUNSET (ctrl+alt+s)","\"REMOVE SUNSET (ctrl+alt+s)\"","ds"
"102c96ef3","LEVEL SETTINGS CAN ONLY BE CHANGED#ON FIRST FLOOR!","\"LEVEL SETTINGS CAN ONLY BE CHANGED#ON FIRST FLOOR!\"","ds"
"102c96f26","WARNING!##SWITCHING PLAYER CHARACTER WILL#ERASE ALL EXISTING ENEMIES#FROM LEVEL!##PROCEED ANYWAY?","\"WARNING!##SWITCHING PLAYER CHARACTER WILL#ERASE ALL EXISTING ENEMIES#FROM LEVEL!##PROCEED ANYWAY?\"","ds"
"102c96f88","PLAYER CHARACTER CANNOT BE SWITCHED#ON LEVELS CONTAINING A CUTSCENE!","\"PLAYER CHARACTER CANNOT BE SWITCHED#ON LEVELS CONTAINING A CUTSCENE!\"","ds"
"102c96fcd","HOTLINE EDITOR##HOTLINE EDITOR allows you to easily create new content#for the game Hotline Miami 2.##HOTLINE EDITOR created by Dennaton and Abstraction Games.","\"HOTLINE EDITOR##HOTLINE EDITOR allows you to easily create new content#for the game Hotline Miami 2.##HOTLINE EDITOR created by Dennaton and Abstraction Games.\"","ds"
"102c9706d","SAVE CHANGES TO CURRENT FLOOR?","\"SAVE CHANGES TO CURRENT FLOOR?\"","ds"
"102c9708c","DO YOU WANT TO COPY A PART OF#THE CURRENT FLOOR?#(GOOD FOR STAIRS ETC.)","\"DO YOU WANT TO COPY A PART OF#THE CURRENT FLOOR?#(GOOD FOR STAIRS ETC.)\"","ds"
"102c970d4","1000pts","\"1000pts\"","ds"
"102c970dc","\restartmusic","\"\\restartmusic\"","ds"
"102c970ea","vcapture.dll","\"vcapture.dll\"","ds"
"102c970f7","vcapture_begin","\"vcapture_begin\"","ds"
"102c97106","vcapture_frame","\"vcapture_frame\"","ds"
"102c97115","vcapture_save","\"vcapture_save\"","ds"
"102c97123","hlm2","\"hlm2\"","ds"
"102c97128","[HLM2 Init] Initializing lookup tables","\"[HLM2 Init] Initializing lookup tables\"","ds"
"102c9714f","[HLM2 Init] Initializing HLM2 Input Manager","\"[HLM2 Init] Initializing HLM2 Input Manager\"","ds"
"102c9717b","[HLM2 Init] Loading custom mappings","\"[HLM2 Init] Loading custom mappings\"","ds"
"102c9719f","[HLM2 Init] Initializing Steam leaderboards","\"[HLM2 Init] Initializing Steam leaderboards\"","ds"
